127.0.0.1, 2018-04-25 17:02:19, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-25 17:02:19, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-25 17:03:03, GET, /admin/default/ticket/start/127.0.0.1.2018-04-25.17-02-01.26fcd1cd-c518-4a0a-9e16-b02dcd9b12dc, HTTP/1.1, 200, 0.124000
127.0.0.1, 2018-04-25 17:03:04, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-25 17:03:06, GET, /start/default/index, HTTP/1.1, 500, 0.068000
127.0.0.1, 2018-04-25 17:03:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:03:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:03:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.044000
127.0.0.1, 2018-04-25 17:03:29, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.022000
127.0.0.1, 2018-04-25 17:03:29, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-04-25 17:03:29, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-04-25 17:03:29, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.049000
127.0.0.1, 2018-04-25 17:03:29, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.136000
127.0.0.1, 2018-04-25 17:03:29, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.141000
127.0.0.1, 2018-04-25 17:03:29, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.122000
127.0.0.1, 2018-04-25 17:03:29, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-04-25 17:03:29, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.198000
127.0.0.1, 2018-04-25 17:03:29, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.203000
127.0.0.1, 2018-04-25 17:03:29, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-25 17:03:29, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-25 17:03:29, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-25 17:03:29, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-04-25 17:03:43, GET, /start/default/index, HTTP/1.1, 500, 0.080000
127.0.0.1, 2018-04-25 17:03:43, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-25 17:13:58, GET, /start/default/index, HTTP/1.1, 500, 7.228000
127.0.0.1, 2018-04-25 17:13:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:14:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.157000
127.0.0.1, 2018-04-25 17:14:14, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-25 17:14:14, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-25 17:14:14, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-25 17:14:14, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-25 17:14:14, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-25 17:14:14, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-25 17:14:14, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-25 17:14:14, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-25 17:14:14, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000000
